id,key,value,type
22914746,highway,secondary_link,regular
22914747,name,Victoria Park Road NW,regular
22914747,highway,secondary,regular
22914747,created_by,Potlatch 0.10b,regular
22914762,name,Victoria Park Road NW,regular
22914762,oneway,yes,regular
22914762,highway,secondary,regular
22914764,name,River Valley Road NW,regular
22914764,lanes,2,regular
22914764,oneway,no,regular
22914764,highway,tertiary,regular
22914764,surface,paved,regular
22915803,foot,yes,regular
22915803,name,Walterdale Bridge,regular
22915803,note,"The weights in the signs are 24, 40 and 54t.",regular
22915803,lanes,2,regular
22915803,layer,1,regular
22915803,bridge,yes,regular
22915803,oneway,yes,regular
22915803,bicycle,yes,regular
22915803,highway,secondary,regular
22915803,surface,metal,regular
22915803,maxheight,4.6,regular
22915803,maxweight,24,regular
22915803,maxgcweight,54,regular
22915822,bicycle,no,regular
22915822,bridge,yes,regular
22915822,foot,no,regular
22915822,highway,secondary,regular
22915822,horse,no,regular
22915822,lanes,2,regular
22915822,layer,1,regular
22915822,maxspeed,50,regular
22915822,name,109 Street NW,regular
22915822,oneway,yes,regular
22915822,surface,paved,regular
22915889,name,97 Avenue NW,regular
22915889,oneway,yes,regular
22915889,highway,secondary,regular
22915889,maxheight,4.9m,regular
22915890,name,97 Avenue NW,regular
22915890,layer,-2,regular
22915890,oneway,yes,regular
22915890,tunnel,yes,regular
22915890,highway,secondary,regular
22915890,maxheight,4.9m,regular
22916327,street,Whitemud Drive East,destination
22916327,highway,motorway_link,regular
22916327,lanes,1,regular
22916327,lit,yes,regular
22916327,oneway,yes,regular
22916328,bridge,yes,regular
22916328,street,Whitemud Drive East,destination
22916328,highway,motorway_link,regular
22916328,lanes,1,regular
22916328,layer,1,regular
22916328,lit,yes,regular
22916328,oneway,yes,regular
22916333,bridge,yes,regular
22916333,highway,motorway_link,regular
22916333,lanes,2,regular
22916333,layer,1,regular
22916333,lit,yes,regular
22916333,oneway,yes,regular
22916335,lit,yes,regular
22916335,lanes,1,regular
22916335,layer,1,regular
22916335,bridge,yes,regular
22916335,oneway,yes,regular
22916335,highway,motorway_link,regular
22916336,lit,yes,regular
22916336,lanes,1,regular
22916336,oneway,yes,regular
22916336,highway,motorway_link,regular
22916336,maxspeed,80,regular
22916338,ref,2,regular
22916338,name,Rainbow Valley Bridge,regular
22916338,lanes,3,regular
22916338,layer,1,regular
22916338,bridge,yes,regular
22916338,oneway,yes,regular
22916338,highway,motorway,regular
22916338,maxspeed,80,regular
22916340,ref,2,regular
22916340,name,Whitemud Drive NW,regular
22916340,lanes,3,regular
22916340,oneway,yes,regular
22916340,cutting,yes,regular
22916340,highway,motorway,regular
22916340,maxspeed,80,regular
22916344,name,122 Street NW,regular
22916344,layer,1,regular
22916344,bridge,yes,regular
22916344,oneway,yes,regular
22916344,highway,secondary,regular
22916348,name,111 Street NW,regular
22916348,lanes,2,regular
22916348,layer,1,regular
22916348,bridge,yes,regular
22916348,oneway,yes,regular
22916348,highway,secondary,regular
22916348,created_by,Potlatch 0.10b,regular
22916349,lit,yes,regular
22916349,name,111 Street NW,regular
22916349,lanes,2,regular
22916349,oneway,yes,regular
22916349,highway,secondary,regular
22916350,name,111 Street NW,regular
22916350,lanes,2,regular
22916350,layer,1,regular
22916350,bridge,yes,regular
22916350,oneway,yes,regular
22916350,highway,secondary,regular
22916350,created_by,Potlatch 0.10b,regular
22916352,name,106 Street NW,regular
22916352,lanes,2,regular
22916352,oneway,yes,regular
22916352,bicycle,designated,regular
22916352,highway,tertiary,regular
22916353,bicycle,designated,regular
22916353,bridge,yes,regular
22916353,highway,tertiary,regular
22916353,lanes,2,regular
22916353,layer,1,regular
22916353,name,106 Street NW,regular
22916353,oneway,yes,regular
22916353,surface,asphalt,regular
22916356,ref,2,regular
22916356,name,Calgary Trail NW,regular
22916356,lanes,2,regular
22916356,layer,1,regular
22916356,bridge,yes,regular
22916356,oneway,yes,regular
22916356,highway,trunk,regular
22916358,ref,2,regular
22916358,name,Gateway Boulevard NW,regular
22916358,lanes,2,regular
22916358,layer,1,regular
22916358,bridge,yes,regular
22916358,oneway,yes,regular
22916358,highway,trunk,regular
22916361,lit,yes,regular
22916361,name,99 Street NW,regular
22916361,lanes,2,regular
22916361,layer,1,regular
22916361,bridge,yes,regular
22916361,oneway,yes,regular
22916361,highway,secondary,regular
22916455,lit,yes,regular
22916455,name,Groat Road NW,regular
22916455,lanes,2,regular
22916455,oneway,yes,regular
22916455,highway,secondary,regular
22916455,maxspeed,60,regular
22916458,lit,yes,regular
22916458,name,Groat Bridge,regular
22916458,lanes,2,regular
22916458,layer,1,regular
22916458,bridge,yes,regular
22916458,oneway,yes,regular
22916458,highway,secondary,regular
22916458,maxspeed,60,regular
22916464,name,109 Street NW,regular
22916464,oneway,yes,regular
22916464,highway,secondary,regular
22916464,maxheight,3.2m,regular
22916468,lit,yes,regular
22916468,name,98 Avenue NW,regular
22916468,oneway,yes,regular
22916468,highway,secondary,regular
22916468,maxspeed,60,regular
22916470,name,98 Avenue NW,regular
22916470,layer,1,regular
22916470,bridge,yes,regular
22916470,oneway,yes,regular
22916470,highway,secondary,regular
22916473,name,Connors Road NW,regular
22916473,lanes,2,regular
22916473,layer,1,regular
22916473,bridge,yes,regular
22916473,oneway,yes,regular
22916473,highway,secondary,regular
22916473,maxheight,5.2,regular
22916646,oneway,yes,regular
22916646,highway,motorway_link,regular
22916664,lit,yes,regular
22916664,ref,2,regular
22916664,name,Whitemud Drive NW,regular
22916664,lanes,3,regular
22916664,layer,1,regular
22916664,bridge,yes,regular
22916664,oneway,yes,regular
22916664,highway,motorway,regular
22916665,ref,2,regular
22916665,name,Whitemud Drive NW,regular
22916665,lanes,3,regular
22916665,oneway,yes,regular
22916665,highway,motorway,regular
22916665,maxspeed,80,regular
22916666,lit,yes,regular
22916666,ref,2,regular
22916666,name,Whitemud Drive NW,regular
22916666,lanes,3,regular
22916666,layer,1,regular
22916666,bridge,yes,regular
22916666,oneway,yes,regular
22916666,highway,motorway,regular
22916667,lit,yes,regular
22916667,ref,2,regular
22916667,name,Whitemud Drive NW,regular
22916667,lanes,3,regular
22916667,oneway,yes,regular
22916667,highway,motorway,regular
22916667,maxspeed,80,regular
22916672,ref,2,regular
22916672,name,Whitemud Drive NW,regular
22916672,lanes,3,regular
22916672,oneway,yes,regular
22916672,highway,motorway,regular
22916672,maxspeed,80,regular
22916673,ref,2,regular
22916673,name,Quesnell Bridge,regular
22916673,lanes,3,regular
22916673,layer,1,regular
22916673,bridge,yes,regular
22916673,oneway,yes,regular
22916673,highway,motorway,regular
22916674,ref,2,regular
22916674,name,Quesnell Bridge,regular
22916674,lanes,2,regular
22916674,layer,1,regular
22916674,bridge,yes,regular
