id,user,uid,version,changeset,timestamp
22916646,ionutr_telenav,4930407,9,45744911,2017-02-02T11:53:14Z
22916664,MuzikMachine,1820014,11,20813162,2014-02-27T17:41:10Z
22916665,MuzikMachine,1820014,13,24689693,2014-08-11T22:04:13Z
22916666,MuzikMachine,1820014,9,20813162,2014-02-27T17:41:10Z
22916667,MuzikMachine,1820014,14,20813162,2014-02-27T17:41:10Z
22916672,MuzikMachine,1820014,9,24689693,2014-08-11T22:04:13Z
22916673,MuzikMachine,1820014,14,24689693,2014-08-11T22:04:13Z
22916674,pnorman,355617,8,9347216,2011-09-19T22:14:22Z
22916676,MuzikMachine,1820014,17,24689693,2014-08-11T22:04:13Z
22916798,MuzikMachine,1820014,15,28030910,2015-01-09T23:32:19Z
22917187,ionutr_telenav,4930407,13,45911824,2017-02-08T10:24:14Z
22917201,spince,4762663,12,44346441,2016-12-12T13:49:30Z
22917211,Mesowhite,3848955,12,44078515,2016-12-01T07:12:38Z
22917297,Mesowhite,3848955,9,44796316,2016-12-30T22:16:01Z
22938888,JJones,432924,8,15929411,2013-05-01T06:50:50Z
22939032,yoltia,167781,29,11483941,2012-05-02T21:35:52Z
22939871,ionutr_telenav,4930407,25,45297534,2017-01-19T13:30:47Z
22939896,ionutr_telenav,4930407,16,45297534,2017-01-19T13:30:47Z
22939904,mike140,2471547,37,45051318,2017-01-10T13:48:41Z
22940134,ij_,139957,28,25486339,2014-09-16T19:02:23Z
22940798,pnorman,355617,10,9347216,2011-09-19T22:03:41Z
22942099,MuzikMachine,1820014,13,28028072,2015-01-09T20:58:11Z
22942137,Mesowhite,3848955,19,44796316,2016-12-30T22:16:02Z
22942170,istvanv_telenav,4972028,16,44540198,2016-12-20T12:31:27Z
22942171,jdkrabbe,388969,18,45233102,2017-01-17T04:07:01Z
22946221,ionutr_telenav,4930407,9,46832584,2017-03-14T07:56:57Z
22949598,Feldo,454012,35,17293246,2013-08-10T16:41:16Z
22949673,ionutr_telenav,4930407,19,45104406,2017-01-12T13:50:21Z
22949816,ionutr_telenav,4930407,51,46299820,2017-02-22T09:03:39Z
22959547,xixi,86952,6,9759861,2011-11-06T21:00:58Z
22959548,Sundance,239998,5,9923734,2011-11-23T17:33:30Z
22960909,Mesowhite,3848955,27,39951271,2016-06-11T12:14:40Z
